customer_id,recency_days,frequency,monetary,avg_order_value,return_rate,order_count,days_active,tenure_days,avg_items_per_order,purchase_trend,region,acquisition_channel,age_group,churn_label,segment_name,cluster_id
12346,325,12,476.86,39.73833333333334,0.2,12,400,725,5.0,-10,UK,Paid Search,18-24,True,At-Risk Big Spenders,3
12347,2,8,4775.93,596.99125,0.0,8,402,404,12.734234234234235,0,Europe,Direct,45-54,False,Champions,1
12348,75,5,1523.24,304.648,0.0,5,363,438,50.869565217391305,-1,Europe,Paid Search,25-34,False,At-Risk Big Spenders,3
12349,18,3,3678.69,1226.23,0.25,3,717,735,9.424418604651162,-1,Europe,Referral,55-64,False,Promising New,0
12350,310,1,294.4,294.4,0.0,1,0,310,12.25,1,Europe,Organic Search,35-44,True,Lost Low-Value,2
12351,375,1,300.93,300.93,0.0,1,0,375,12.428571428571429,1,Unknown,Social Media,18-24,True,Lost Low-Value,2
12352,36,9,1729.54,192.17111111111112,0.1,9,356,392,7.515789473684211,-3,Europe,Paid Search,55-64,False,At-Risk Big Spenders,3
12353,204,2,406.76,203.38,0.0,2,204,408,8.833333333333334,0,Middle East,Paid Search,18-24,True,Lost Low-Value,2
12354,232,1,1079.4,1079.4,0.0,1,0,232,9.137931034482758,1,Europe,Organic Search,25-34,True,Lost Low-Value,2
12355,214,2,947.61,473.805,0.0,2,353,567,15.514285714285714,0,Middle East,Direct,45-54,True,At-Risk Big Spenders,3
12356,22,6,5594.93,932.4883333333333,0.0,6,402,424,24.0,-4,Europe,Direct,35-44,False,Champions,1
12357,33,2,17437.66,8718.83,0.0,2,355,388,22.325423728813558,0,Europe,Email,55-64,False,At-Risk Big Spenders,3
12358,1,5,3447.07,689.414,0.0,5,730,731,14.432432432432432,-1,Europe,Referral,45-54,False,Champions,1
12359,7,10,8805.39,880.539,0.2857142857142857,10,727,734,7.013812154696133,-2,Europe,Paid Search,45-54,False,Champions,1
12360,52,6,3610.49,601.7483333333333,0.0,6,603,655,11.483412322274882,0,Europe,Direct,25-34,False,At-Risk Big Spenders,3
12361,287,4,451.25,112.8125,0.0,4,395,682,9.24,0,Europe,Organic Search,25-34,True,At-Risk Big Spenders,3
12362,3,10,4737.23,473.723,0.23076923076923078,10,292,295,8.58203125,4,Europe,Referral,65+,False,Champions,1
12363,109,2,552.0,276.0,0.0,2,133,242,17.73913043478261,0,Unknown,Organic Search,25-34,True,Lost Low-Value,2
12364,7,4,1179.3,294.825,0.0,4,105,112,17.51851851851852,0,Europe,Paid Search,35-44,False,Promising New,0
12365,291,1,320.69,320.69,0.0,1,0,291,8.238095238095237,1,Europe,Referral,25-34,True,Lost Low-Value,2
12366,633,1,493.48,493.48,0.0,1,0,633,97.33333333333333,1,Europe,Paid Search,25-34,True,Lost Low-Value,2
